country_code,year,total_population,male_population,female_population,working_age_population_ratio,mortality_rate,life_expectancy,life_expectancy_male,life_expectancy_female,fertility_rate
BOL,1961,3778731.0,1861140.0,1917591.0,83.5329236615565,184.5,43.628,41.471,45.838,6.257
BRA,1961,74605447.0,37384876.0,37220571.0,88.301521617607,123.3,53.594,51.42,55.954,6.022
BRB,1961,233148.0,111799.0,121349.0,71.6557578613342,65.4,65.033,62.798,66.664,4.153
BRN,1961,92517.0,49482.0,43035.0,95.4370695846888,55.2,59.387,58.98,59.633,7.185
BTN,1961,230602.0,119342.0,111260.0,80.2817562073926,,36.654,35.767,37.615,6.698
BWA,1961,527942.0,253628.0,274314.0,99.5042078094828,115.1,51.781,49.702,53.716,6.564
CAF,1961,1734580.0,858032.0,876548.0,82.1691464122893,155.9,40.056,39.009,41.112,5.958
CAN,1961,18271000.0,9233088.0,9037912.0,71.043595287506,26.9,71.3460975609756,68.39,74.45,3.753
CHE,1961,5434294.0,2634953.0,2799341.0,52.1612788695986,21.3,71.6448780487805,68.84,74.59,2.52
CHL,1961,8324802.0,4178710.0,4146092.0,75.7948280664366,121.0,57.309,54.852,59.964,4.655
CHN,1961,660330000.0,337310877.0,323019123.0,78.0499986658316,,40.158,38.621,41.897,3.863
CIV,1961,3810151.0,1926803.0,1883348.0,83.9825180076014,203.2,37.923,35.929,40.076,7.72
CMR,1961,5239273.0,2548816.0,2690457.0,78.0590639864384,170.7,35.186,29.831,42.276,5.732
COD,1961,15662374.0,7497749.0,8164625.0,84.3852431756309,,40.161,38.587,41.639,6.124
COG,1961,1084389.0,537176.0,547213.0,87.0352100286661,92.7,48.351,46.897,49.838,6.093
COL,1961,16095203.0,8018493.0,8076710.0,99.1714966740823,92.8,57.203,55.39,59.028,6.712
COM,1961,201201.0,99290.0,101911.0,83.9258453465944,,41.157,39.385,43.005,6.849
CPV,1961,215087.0,101823.0,113264.0,94.4315377453152,110.6,49.419,48.068,50.552,6.922
CRI,1961,1377920.0,692568.0,685352.0,98.5276701197286,69.3,63.86,62.622,65.111,6.651
CUB,1961,7387117.0,3769960.0,3617157.0,68.0414057292863,36.8,63.743,61.761,66.088,4.265
CUW,1961,126125.0,62601.0,63524.0,84.7958271673675,,65.745,63.637,67.684,5.042
CYM,1961,8601.0,4072.0,4529.0,78.0376733595529,,59.426,57.097,61.481,4.781
CYP,1961,595514.0,292109.0,303405.0,73.3226228000477,,64.076,60.596,67.935,3.619
CZE,1961,9586651.0,4649041.0,4937610.0,53.2762287846513,20.9,70.5126829268293,67.62,73.55,2.11
